"Fund_Code","Aid_Year","CFP_Category"
"ASON","2021-2022","Private Loan"
"AZLP","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"CHAFEE","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"CSG","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"DISCOUNT","2021-2022~2022-2023~2023-2024~2024-2025","Scholarship from School"
"DSUB","2021-2022~2022-2023~2023-2024~2024-2025","Federal Direct Subsidized Loan"
"DUNSUB","2021-2022~2022-2023~2023-2024~2024-2025","Federal Direct Unsubsidized Loan"
"FALLOFF","2021-2022","Private Loan"
"FSAG","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"FSEOG","2021-2022~2022-2023~2023-2024~2024-2025","Institutional Grant"
"FSEOG_RP","2021-2022~2022-2023~2023-2024~2024-2025","Institutional Grant"
"GPLUS","2021-2022~2022-2023~2023-2024~2024-2025","Grad Plus Federal Loan"
"IASG","2021-2022~2022-2023~2023-2024","Other Forms of Grant Aid"
"IASG_RP","2021-2022~2022-2023~2023-2024","Other Forms of Grant Aid"
"OHIOSG","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"PELL","2021-2022~2022-2023~2023-2024~2024-2025","Federal Pell Grant"
"PELL_RP","2021-2022~2022-2023~2023-2024~2024-2025","Federal Pell Grant"
"PHEPHI","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"PHEPIT","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"PLUS","2021-2022","Parent Plus Federal Loan"
"RISG","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"
"TEACH","2021-2022~2022-2023~2023-2024~2024-2025","Institutional Grant"
"TEACH_RP","2021-2022~2022-2023~2023-2024~2024-2025","Institutional Grant"
"TPC","2021-2022~2022-2023~2023-2024~2024-2025","Employer Paid Tuition Benefits"
"VTSG","2021-2022~2022-2023~2023-2024~2024-2025","State Grant"