"Associated_ISIR_Field","Aid_Year","Auto_Code_Clearing_Logic","Documents_Required","Additional_Notification_Message","Resolution_Required"
"ASSUMEDCITIZENSHIP","2014-2015","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2014-2015","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2014-2015","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2014-2015","return true;","","","false"
"ASSUMEDHOMELESSATRISK","2014-2015","return true;","","","false"
"ASSUMEDHOMELESSHUD","2014-2015","return true;","","","false"
"ASSUMEDHOMELESSSCHOOL","2014-2015","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDPARENT1SSN","2014-2015","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDPARENT2SSN","2014-2015","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2014-2015","return true;","","","false"
"ASSUMEDPARENTSAGI","2014-2015","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2014-2015","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2014-2015","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2014-2015","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2014-2015","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2014-2015","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2014-2015","return true;","","","false"
"ASSUMEDCITIZENSHIP","2015-2016","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2015-2016","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2015-2016","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2015-2016","return true;","","","false"
"ASSUMEDHOMELESSATRISK","2015-2016","return true;","","","false"
"ASSUMEDHOMELESSHUD","2015-2016","return true;","","","false"
"ASSUMEDHOMELESSSCHOOL","2015-2016","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2015-2016","return true;","","","false"
"ASSUMEDPARENT1SSN","2015-2016","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2015-2016","return true;","","","false"
"ASSUMEDPARENT2SSN","2015-2016","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2015-2016","return true;","","","false"
"ASSUMEDPARENTSAGI","2015-2016","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2015-2016","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2015-2016","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2015-2016","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2015-2016","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2015-2016","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2015-2016","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2015-2016","return true;","","","false"
"ASSUMEDCITIZENSHIP","2016-2017","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2016-2017","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2016-2017","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2016-2017","return true;","","","false"
"ASSUMEDHOMELESSATRISK","2016-2017","return true;","","","false"
"ASSUMEDHOMELESSHUD","2016-2017","return true;","","","false"
"ASSUMEDHOMELESSSCHOOL","2016-2017","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2016-2017","return true;","","","false"
"ASSUMEDPARENT1SSN","2016-2017","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2016-2017","return true;","","","false"
"ASSUMEDPARENT2SSN","2016-2017","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2016-2017","return true;","","","false"
"ASSUMEDPARENTSAGI","2016-2017","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2016-2017","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2016-2017","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2016-2017","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2016-2017","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2016-2017","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2016-2017","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2016-2017","return true;","","","false"
"ASSUMEDCITIZENSHIP","2017-2018","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2017-2018","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2017-2018","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2017-2018","return true;","","","false"
"ASSUMEDHOMELESSATRISK","2017-2018","return true;","","","false"
"ASSUMEDHOMELESSHUD","2017-2018","return true;","","","false"
"ASSUMEDHOMELESSSCHOOL","2017-2018","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2017-2018","return true;","","","false"
"ASSUMEDPARENT1SSN","2017-2018","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2017-2018","return true;","","","false"
"ASSUMEDPARENT2SSN","2017-2018","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2017-2018","return true;","","","false"
"ASSUMEDPARENTSAGI","2017-2018","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2017-2018","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2017-2018","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2017-2018","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2017-2018","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2017-2018","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2017-2018","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2017-2018","return true;","","","false"
"ASSUMEDCITIZENSHIP","2018-2019","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2018-2019","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2018-2019","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2018-2019","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2018-2019","return true;","","","false"
"ASSUMEDPARENT1SSN","2018-2019","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2018-2019","return true;","","","false"
"ASSUMEDPARENT2SSN","2018-2019","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2018-2019","return true;","","","false"
"ASSUMEDPARENTSAGI","2018-2019","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2018-2019","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2018-2019","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2018-2019","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2018-2019","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2018-2019","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2018-2019","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2018-2019","return true;","","","false"
"ASSUMEDCITIZENSHIP","2019-2020","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2019-2020","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2019-2020","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2019-2020","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2019-2020","return true;","","","false"
"ASSUMEDPARENT1SSN","2019-2020","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2019-2020","return true;","","","false"
"ASSUMEDPARENT2SSN","2019-2020","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2019-2020","return true;","","","false"
"ASSUMEDPARENTSAGI","2019-2020","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2019-2020","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2019-2020","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2019-2020","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2019-2020","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2019-2020","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2019-2020","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2019-2020","return true;","","","false"
"ASSUMEDCITIZENSHIP","2020-2021","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2020-2021","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2020-2021","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2020-2021","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2020-2021","return true;","","","false"
"ASSUMEDPARENT1SSN","2020-2021","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2020-2021","return true;","","","false"
"ASSUMEDPARENT2SSN","2020-2021","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2020-2021","return true;","","","false"
"ASSUMEDPARENTSAGI","2020-2021","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2020-2021","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2020-2021","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2020-2021","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2020-2021","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2020-2021","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2020-2021","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2020-2021","return true;","","","false"
"ASSUMEDCITIZENSHIP","2021-2022","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2021-2022","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2021-2022","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2021-2022","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2021-2022","return true;","","","false"
"ASSUMEDPARENT1SSN","2021-2022","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2021-2022","return true;","","","false"
"ASSUMEDPARENT2SSN","2021-2022","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2021-2022","return true;","","","false"
"ASSUMEDPARENTSAGI","2021-2022","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2021-2022","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2021-2022","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2021-2022","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2021-2022","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2021-2022","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2021-2022","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2021-2022","return true;","","","false"
"ASSUMEDCITIZENSHIP","2022-2023","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2022-2023","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2022-2023","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2022-2023","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2022-2023","return true;","","","false"
"ASSUMEDPARENT1SSN","2022-2023","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2022-2023","return true;","","","false"
"ASSUMEDPARENT2SSN","2022-2023","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2022-2023","return true;","","","false"
"ASSUMEDPARENTSAGI","2022-2023","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2022-2023","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2022-2023","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2022-2023","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2022-2023","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2022-2023","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2022-2023","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2022-2023","return true;","","","false"
"ASSUMEDCITIZENSHIP","2023-2024","return true;","","","false"
"ASSUMEDDATEOFBIRTHPRIOR","2023-2024","return true;","","","false"
"ASSUMEDHAVECHILDRENYOUSUPPORT","2023-2024","return true;","","","false"
"ASSUMEDHAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2023-2024","return true;","","","false"
"ASSUMEDPARENT1INCOMEEARNEDFROMWORK","2023-2024","return true;","","","false"
"ASSUMEDPARENT1SSN","2023-2024","return true;","","","false"
"ASSUMEDPARENT2INCOMEEARNEDFROMWORK","2023-2024","return true;","","","false"
"ASSUMEDPARENT2SSN","2023-2024","return true;","","","false"
"ASSUMEDPARENTSADDITIONALFINANCIALINFORMATIONTOTAL","2023-2024","return true;","","","false"
"ASSUMEDPARENTSAGI","2023-2024","return true;","","","false"
"ASSUMEDPARENTSASSETTHRESHOLDEXCEEDED","2023-2024","return true;","","","false"
"ASSUMEDPARENTSINCOLLEGE","2023-2024","return true;","","","false"
"ASSUMEDPARENTSINFAMILY","2023-2024","return true;","","","false"
"ASSUMEDPARENTSMARITALSTATUS","2023-2024","return true;","","","false"
"ASSUMEDPARENTSUSTAXPAID","2023-2024","return true;","","","false"
"ASSUMEDSPOUSESINCOMEFROMWORK","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTASSETTHRESHOLDEXCEEDED","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTISMARRIEDREMARRIED","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSADDITIONALFINANCIALINFORMATIONTOTAL","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSAGI","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSINCOLLEGE","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSINCOMEFROMWORK","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSINFAMILY","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSMARITALSTATUS","2023-2024","return true;","","","false"
"ASSUMEDSTUDENTSUSTAXPAID","2023-2024","return true;","","","false"