"Code_Number","Aid_Year","Auto_Code_Clearing_Logic","Documents_Required","Additional_Notification_Message","Verification_Tracking_Group","Verification_Status_Code","Effective_Date"
"170","2017-2018","return false;","","","AGGREGATE","",""
"170","2017-2018","return false;","","","CHILD_SUPPORT","",""
"170","2017-2018","return false;","","","CUSTOM","",""
"170","2017-2018","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2017-2018","return false;","","","STANDARD","",""
"171","2017-2018","isir/verification/2018/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2018/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2017-2018","return false;","","","CHILD_SUPPORT","",""
"171","2017-2018","return false;","","","CUSTOM","",""
"171","2017-2018","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2017-2018","isir/verification/2018/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2018/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2018-2019","isir/verification/2019/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2019/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2018-2019","return false;","","","CHILD_SUPPORT","",""
"170","2018-2019","isir/verification/2019/171/CUSTOM/AutoCodeClearing.groovy","isir/verification/2019/171/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2018-2019","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2018-2019","isir/verification/2019/170/STANDARD/AutoCodeClearing.groovy","isir/verification/2019/170/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"171","2018-2019","isir/verification/2019/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2019/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2018-2019","return false;","","","CHILD_SUPPORT","",""
"171","2018-2019","isir/verification/2019/171/CUSTOM/AutoCodeClearing.groovy","isir/verification/2019/171/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2018-2019","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2018-2019","isir/verification/2019/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2019/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2019-2020","isir/verification/2020/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2020/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2019-2020","return false;","","","CHILD_SUPPORT","",""
"170","2019-2020","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2019-2020","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2019-2020","isir/verification/2020/170/STANDARD/AutoCodeClearing.groovy","isir/verification/2020/170/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"171","2019-2020","isir/verification/2020/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2020/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2019-2020","return false;","","","CHILD_SUPPORT","",""
"171","2019-2020","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2019-2020","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2019-2020","isir/verification/2020/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2020/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2020-2021","isir/verification/2021/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2021/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2020-2021","return false;","","","CHILD_SUPPORT","",""
"170","2020-2021","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2020-2021","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2020-2021","isir/verification/2021/170/STANDARD/AutoCodeClearing.groovy","isir/verification/2021/170/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"171","2020-2021","isir/verification/2021/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2021/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2020-2021","return false;","","","CHILD_SUPPORT","",""
"171","2020-2021","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2020-2021","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2020-2021","isir/verification/2021/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2021/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"170","2021-2022","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2021-2022","return false;","","","CHILD_SUPPORT","",""
"170","2021-2022","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2021-2022","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2021-2022","return true;","","","STANDARD","",""
"170","2021-2022","return true;","","","STANDARD","SELECT_NOT_VERIFIED","2021-07-13"
"171","2021-2022","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2021-2022","return false;","","","CHILD_SUPPORT","",""
"171","2021-2022","isir/verification/2020/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2020/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2021-2022","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2021-2022","return true;","","","STANDARD","",""
"171","2021-2022","return true;","","","STANDARD","SELECT_NOT_VERIFIED","2021-07-13"
"170","2022-2023","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2022-2023","return false;","","","CHILD_SUPPORT","",""
"170","2022-2023","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2022-2023","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2022-2023","return true;","","","STANDARD","",""
"170","2022-2023","return true;","","","STANDARD","SELECT_NOT_VERIFIED","2022-05-18"
"171","2022-2023","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2022-2023","return false;","","","CHILD_SUPPORT","",""
"171","2022-2023","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2022-2023","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2022-2023","return true;","","","STANDARD","",""
"171","2022-2023","return true;","","","STANDARD","SELECT_NOT_VERIFIED","2022-05-18"
"170","2023-2024","isir/verification/2024/170/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2024/170/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"170","2023-2024","return false;","","","CHILD_SUPPORT","",""
"170","2023-2024","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"170","2023-2024","return false;","","","HOUSEHOLD_RESOURCES","",""
"170","2023-2024","isir/verification/2024/170/STANDARD/AutoCodeClearing.groovy","isir/verification/2024/170/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"171","2023-2024","isir/verification/2024/171/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2024/171/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"171","2023-2024","return false;","","","CHILD_SUPPORT","",""
"171","2023-2024","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"171","2023-2024","return false;","","","HOUSEHOLD_RESOURCES","",""
"171","2023-2024","isir/verification/2024/171/STANDARD/AutoCodeClearing.groovy","isir/verification/2024/171/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"298","2024-2025","isir/verification/2025/298/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2025/298/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"298","2024-2025","return false;","","","CHILD_SUPPORT","",""
"298","2024-2025","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"298","2024-2025","return false;","","","HOUSEHOLD_RESOURCES","",""
"298","2024-2025","isir/verification/2025/298/STANDARD/AutoCodeClearing.groovy","isir/verification/2025/298/STANDARD/DocumentsRequired.groovy","","STANDARD","",""
"299","2024-2025","isir/verification/2025/299/AGGREGATE/AutoCodeClearing.groovy","isir/verification/2025/299/AGGREGATE/DocumentsRequired.groovy","","AGGREGATE","",""
"299","2024-2025","return false;","","","CHILD_SUPPORT","",""
"299","2024-2025","isir/verification/2023/170/CUSTOM/AutoCodeClearing.groovy","isir/verification/2023/170/CUSTOM/DocumentsRequired.groovy","","CUSTOM","",""
"299","2024-2025","return false;","","","HOUSEHOLD_RESOURCES","",""
"299","2024-2025","isir/verification/2025/299/STANDARD/AutoCodeClearing.groovy","isir/verification/2025/299/STANDARD/DocumentsRequired.groovy","","STANDARD","",""